1.00,1451
2.00,1431
3.00,1416
4.00,1425
5.00,1415
6.01,1427
7.01,1424
8.01,1412
9.01,1394
10.01,1411
11.01,1430
12.01,1425
13.01,1398
14.01,1429
15.01,1411
16.01,1424
17.01,1432
18.01,1395
19.01,1432
20.01,1410
21.01,1434
22.01,1430
23.02,1410
24.02,1435
25.02,1412
26.02,1422
27.02,1420
28.02,1403
29.02,1430
30.02,1396
31.02,1397
32.02,1275
33.02,1209
34.03,1253
35.03,1241
36.03,1227
37.03,1259
38.03,1228
39.03,1257
40.03,1259
41.03,1218
42.03,1265
43.03,1226
44.03,1255
45.04,1265
46.04,1198
47.04,1250
48.04,1218
49.04,1260
50.04,1247
51.04,1231
52.04,1262
53.04,1240
54.04,1254
55.04,1258
56.04,1230
57.05,1255
58.05,1239
59.05,1221
60.05,1261
61.05,1228
62.05,1267
63.05,1257
64.05,1244
65.05,1264
66.05,1241
67.05,1260
68.06,1254
69.06,1231
70.06,1259
71.06,794
72.06,790
73.06,1063
74.06,1015
75.06,1094
76.06,1069
77.06,1064
78.06,1092
79.06,1038
80.06,1077
81.06,1069
82.06,1063
83.06,1060
84.07,1051
85.07,1093
86.07,1079
87.07,1060
88.07,1057
89.07,1033
90.07,1062
91.07,1060
92.08,1051
93.08,1072
94.08,1043
95.08,1050
96.08,1070
97.08,1039
98.08,1076
99.09,962
100.09,1232
101.09,1138
102.09,1241
103.09,1154
104.09,1248
105.09,1220
106.09,1275
107.09,1238
108.09,1271
109.09,1280
110.09,1237
111.09,1267
112.10,1244
113.10,1265
114.10,1271
115.10,1220
116.10,1216
117.10,1243
118.10,1261
119.10,1280
